Init,Fin,Flag,Upd
'1111','1111',1,"3,1,1,3"
'1000','1100',1,"3,5,5,3"
'0100','1100',1,"3,5,5,3"
'1000','0000',1,"3,1,1,3"
'0011','0011',1,"3,5,5,3"
'1110','1100',1,"3,5,5,3"
'1100','1100',1,"3,5,5,3"
'0101','1100',1,"3,5,5,3"
'1111','1111',1,"3,1,1,3"
'0011','0011',1,"3,5,5,3"
'1001','0000',1,"3,1,1,3"
'1101','1100',1,"3,5,5,3"
'1010','0011',1,"3,5,5,3"
'0111','1111',1,"3,1,1,3"
'1000','1100',1,"3,5,5,3"
'0111','1111',1,"3,1,1,3"
'1011','0011',1,"3,5,5,3"
'0000','0000',1,"3,1,1,3"
'0000','0000',1,"3,1,1,3"
'0011','0011',1,"3,5,5,3"
'1001','0011',1,"3,5,5,3"
'1001','0011',1,"3,5,5,3"
'0111','0011',1,"3,5,5,3"
'1100','1100',1,"3,5,5,3"
'1100','1100',1,"3,5,5,3"
'0010','0011',1,"3,5,5,3"
'0010','0011',1,"3,5,5,3"
'1110','1111',1,"3,1,1,3"
'1111','1111',1,"3,1,1,3"
'1110','1100',1,"3,5,5,3"
'0111','1111',1,"3,1,1,3"
'1111','1111',1,"3,1,1,3"
'0110','1111',1,"3,1,1,3"
'0101','1100',1,"3,5,5,3"
'0010','0011',1,"3,5,5,3"
'1001','1100',1,"3,5,5,3"
'1011','0011',1,"3,5,5,3"
'0001','0011',1,"3,5,5,3"
'1010','0011',1,"3,5,5,3"
'1001','0011',1,"3,5,5,3"
'0110','1100',1,"3,5,5,3"
'0001','0000',1,"3,1,1,3"
'0111','1111',1,"3,1,1,3"
'0101','1100',1,"3,5,5,3"
'0010','0011',1,"3,5,5,3"
'1011','0011',1,"3,5,5,3"
'1101','1100',1,"3,5,5,3"
'1101','1100',1,"3,5,5,3"
'0011','0011',1,"3,5,5,3"
'1001','0000',1,"3,1,1,3"
'0100','1100',1,"3,5,5,3"
'1110','1111',1,"3,1,1,3"
'1010','0011',1,"3,5,5,3"
'1011','0011',1,"3,5,5,3"
'1001','0000',1,"3,1,1,3"
'1000','1100',1,"3,5,5,3"
'0111','1111',1,"3,1,1,3"
'1011','0011',1,"3,5,5,3"
'0011','0011',1,"3,5,5,3"
'0011','0011',1,"3,5,5,3"
'1100','1100',1,"3,5,5,3"
'1100','1100',1,"3,5,5,3"
'0100','1100',1,"3,5,5,3"
'1101','1100',1,"3,5,5,3"
'0110','0011',1,"3,5,5,3"
'0001','0000',1,"3,1,1,3"
'0010','0011',1,"3,5,5,3"
'1101','1100',1,"3,5,5,3"
'0101','0011',1,"3,5,5,3"
'0001','0000',1,"3,1,1,3"
'0001','0000',1,"3,1,1,3"
'1100','1100',1,"3,5,5,3"
'1101','1100',1,"3,5,5,3"
'0010','0011',1,"3,5,5,3"
'0110','1111',1,"3,1,1,3"
'0101','1100',1,"3,5,5,3"
'1001','1100',1,"3,5,5,3"
'0101','1100',1,"3,5,5,3"
'1100','1100',1,"3,5,5,3"
'1111','1111',1,"3,1,1,3"
'0000','0000',1,"3,1,1,3"
'1000','1100',1,"3,5,5,3"
'1110','1100',1,"3,5,5,3"
'1110','1100',1,"3,5,5,3"
'1100','1100',1,"3,5,5,3"
'1110','1111',1,"3,1,1,3"
'1110','1100',1,"3,5,5,3"
'1111','1111',1,"3,1,1,3"
'1010','1100',1,"3,5,5,3"
'1010','0011',1,"3,5,5,3"
'0001','0000',1,"3,1,1,3"
'1100','1100',1,"3,5,5,3"
'0110','1111',1,"3,1,1,3"
'0111','1111',1,"3,1,1,3"
'0100','1100',1,"3,5,5,3"
'0111','1111',1,"3,1,1,3"
'0000','0000',1,"3,1,1,3"
'1101','1100',1,"3,5,5,3"
'1100','1100',1,"3,5,5,3"
'1010','1111',1,"3,1,1,3"
'0101','0011',1,"3,5,5,3"
'0101','1100',1,"3,5,5,3"
'0000','0000',1,"3,1,1,3"
'1101','1100',1,"3,5,5,3"
'0110','1100',1,"3,5,5,3"
'1011','0011',1,"3,5,5,3"
'1110','1111',1,"3,1,1,3"
'1000','1100',1,"3,5,5,3"
'1010','0011',1,"3,5,5,3"
'0100','1100',1,"3,5,5,3"
'0100','1100',1,"3,5,5,3"
'1010','1111',1,"3,1,1,3"
'0100','1100',1,"3,5,5,3"
'1011','0011',1,"3,5,5,3"
'1101','1100',1,"3,5,5,3"
'1000','0000',1,"3,1,1,3"
'0001','0000',1,"3,1,1,3"
'1100','1100',1,"3,5,5,3"
'0010','0011',1,"3,5,5,3"
'1010','1100',1,"3,5,5,3"
'1010','0011',1,"3,5,5,3"
'0100','1100',1,"3,5,5,3"
'0110','1111',1,"3,1,1,3"
'0000','0000',1,"3,1,1,3"
'0001','0000',1,"3,1,1,3"
'1000','1100',1,"3,5,5,3"
'0110','1100',1,"3,5,5,3"
'0010','0011',1,"3,5,5,3"
'0000','0000',1,"3,1,1,3"
'0110','0011',1,"3,5,5,3"
'0101','1111',1,"3,1,1,3"
'0111','1111',1,"3,1,1,3"
'0100','1100',1,"3,5,5,3"
'0000','0000',1,"3,1,1,3"
'0000','0000',1,"3,1,1,3"
'0000','0000',1,"3,1,1,3"
'1010','1111',1,"3,1,1,3"
'0110','0011',1,"3,5,5,3"
'1010','1111',1,"3,1,1,3"
'1001','0000',1,"3,1,1,3"
'1010','0011',1,"3,5,5,3"
'0011','0011',1,"3,5,5,3"
'0111','1111',1,"3,1,1,3"
'0000','0000',1,"3,1,1,3"
'1000','1100',1,"3,5,5,3"
'0000','0000',1,"3,1,1,3"
'0101','1100',1,"3,5,5,3"
'0110','1111',1,"3,1,1,3"
'0100','1100',1,"3,5,5,3"
'1000','1100',1,"3,5,5,3"
'1100','1100',1,"3,5,5,3"
'1011','0011',1,"3,5,5,3"
'0011','0011',1,"3,5,5,3"
'0100','1100',1,"3,5,5,3"
'1011','0011',1,"3,5,5,3"
'1111','1111',1,"3,1,1,3"
'1100','1100',1,"3,5,5,3"
'1010','0011',1,"3,5,5,3"
'0110','0011',1,"3,5,5,3"
'0010','0011',1,"3,5,5,3"
'0010','0011',1,"3,5,5,3"
'0101','1100',1,"3,5,5,3"
'1100','1100',1,"3,5,5,3"
'0001','0011',1,"3,5,5,3"
'0001','0011',1,"3,5,5,3"
'0000','0000',1,"3,1,1,3"
'0000','0000',1,"3,1,1,3"
'0111','0011',1,"3,5,5,3"
'1000','1100',1,"3,5,5,3"
'0000','0000',1,"3,1,1,3"
'1101','1100',1,"3,5,5,3"
'1000','1100',1,"3,5,5,3"
'0111','1111',1,"3,1,1,3"
'0000','0000',1,"3,1,1,3"
'0001','0000',1,"3,1,1,3"
'0100','1100',1,"3,5,5,3"
'0100','1100',1,"3,5,5,3"
'0100','1100',1,"3,5,5,3"
'1011','0011',1,"3,5,5,3"
'1100','1100',1,"3,5,5,3"
'1001','0000',1,"3,1,1,3"
'0110','1111',1,"3,1,1,3"
'0011','0011',1,"3,5,5,3"
'1000','0000',1,"3,1,1,3"
'1011','0011',1,"3,5,5,3"
'1010','0011',1,"3,5,5,3"
'1000','1100',1,"3,5,5,3"
'0101','1100',1,"3,5,5,3"
'1011','0011',1,"3,5,5,3"
'0000','0000',1,"3,1,1,3"
'1000','1100',1,"3,5,5,3"
'0010','0011',1,"3,5,5,3"
'1000','0000',1,"3,1,1,3"
'1111','1111',1,"3,1,1,3"
'1000','0000',1,"3,1,1,3"
'1111','1111',1,"3,1,1,3"
'1011','0011',1,"3,5,5,3"
'0111','0011',1,"3,5,5,3"
'1110','1100',1,"3,5,5,3"
'0010','0011',1,"3,5,5,3"
'1110','1100',1,"3,5,5,3"
'1100','1100',1,"3,5,5,3"
'0000','0000',1,"3,1,1,3"
'0011','0011',1,"3,5,5,3"
'0001','0000',1,"3,1,1,3"
'1100','1100',1,"3,5,5,3"
'0011','0011',1,"3,5,5,3"
'0000','0000',1,"3,1,1,3"
'1101','1100',1,"3,5,5,3"
'1001','1100',1,"3,5,5,3"
'1011','0011',1,"3,5,5,3"
'0111','0011',1,"3,5,5,3"
'0100','1100',1,"3,5,5,3"
'0111','1111',1,"3,1,1,3"
'0010','0011',1,"3,5,5,3"
'1111','1111',1,"3,1,1,3"
'1100','1100',1,"3,5,5,3"
'1001','0000',1,"3,1,1,3"
'0110','1100',1,"3,5,5,3"
'1111','1111',1,"3,1,1,3"
'0110','1111',1,"3,1,1,3"
'0101','0011',1,"3,5,5,3"
'1011','0011',1,"3,5,5,3"
'1011','0011',1,"3,5,5,3"
'1000','1100',1,"3,5,5,3"
'1001','0000',1,"3,1,1,3"
'0100','1100',1,"3,5,5,3"
'1001','0000',1,"3,1,1,3"
'1110','1111',1,"3,1,1,3"
'0100','1100',1,"3,5,5,3"
'0100','1100',1,"3,5,5,3"
'1011','0011',1,"3,5,5,3"
'0010','0011',1,"3,5,5,3"
'1010','0011',1,"3,5,5,3"
'0000','0000',1,"3,1,1,3"
'0100','1100',1,"3,5,5,3"
'1111','1111',1,"3,1,1,3"
'1010','0011',1,"3,5,5,3"
'0101','1100',1,"3,5,5,3"
'0110','1111',1,"3,1,1,3"
'0111','0011',1,"3,5,5,3"
'1001','1100',1,"3,5,5,3"
'1100','1100',1,"3,5,5,3"
'0001','0000',1,"3,1,1,3"
'0101','1100',1,"3,5,5,3"
'0100','1100',1,"3,5,5,3"
'1011','0011',1,"3,5,5,3"
'0111','1111',1,"3,1,1,3"
'1111','1111',1,"3,1,1,3"
'1010','0011',1,"3,5,5,3"
'0101','1100',1,"3,5,5,3"
'1101','1100',1,"3,5,5,3"
'0110','1111',1,"3,1,1,3"
'0111','0011',1,"3,5,5,3"
'0100','1100',1,"3,5,5,3"
'1111','1111',1,"3,1,1,3"
'1010','0011',1,"3,5,5,3"
'0100','1100',1,"3,5,5,3"
'0101','0000',1,"3,1,1,3"
'1011','0011',1,"3,5,5,3"
'0001','0011',1,"3,5,5,3"
'0011','0011',1,"3,5,5,3"
'1101','1100',1,"3,5,5,3"
'1111','1111',1,"3,1,1,3"
'0010','0011',1,"3,5,5,3"
'0010','0011',1,"3,5,5,3"
'0100','1100',1,"3,5,5,3"
'1111','1111',1,"3,1,1,3"
'1111','1111',1,"3,1,1,3"
'1010','0011',1,"3,5,5,3"
'0101','1100',1,"3,5,5,3"
'0111','1111',1,"3,1,1,3"
'1010','1111',1,"3,1,1,3"
'1110','1111',1,"3,1,1,3"
'1110','1100',1,"3,5,5,3"
'0011','0011',1,"3,5,5,3"
'1000','1100',1,"3,5,5,3"
'0001','0011',1,"3,5,5,3"
'0011','0011',1,"3,5,5,3"
'0000','0000',1,"3,1,1,3"
'1001','0000',1,"3,1,1,3"
'1111','1111',1,"3,1,1,3"
'1010','0011',1,"3,5,5,3"
'0010','0011',1,"3,5,5,3"
'0110','1100',1,"3,5,5,3"
'1010','1111',1,"3,1,1,3"
'1011','0011',1,"3,5,5,3"
'0011','0011',1,"3,5,5,3"
'1111','1111',1,"3,1,1,3"
'1101','1100',1,"3,5,5,3"
'1100','1100',1,"3,5,5,3"
'0101','0011',1,"3,5,5,3"
'0110','1100',1,"3,5,5,3"
'1100','1100',1,"3,5,5,3"
'1111','1111',1,"3,1,1,3"
'0100','1100',1,"3,5,5,3"
'1110','1111',1,"3,1,1,3"
'1110','1111',1,"3,1,1,3"
'1011','0011',1,"3,5,5,3"
'1110','1100',1,"3,5,5,3"
'0110','1100',1,"3,5,5,3"
'1110','1111',1,"3,1,1,3"
'1000','1100',1,"3,5,5,3"
'0110','1111',1,"3,1,1,3"
'0000','0000',1,"3,1,1,3"
'0000','0000',1,"3,1,1,3"
'0010','0011',1,"3,5,5,3"
'0000','0000',1,"3,1,1,3"
'1011','0011',1,"3,5,5,3"
'1110','1100',1,"3,5,5,3"
'0011','0011',1,"3,5,5,3"
'0110','1111',1,"3,1,1,3"
'1010','1111',1,"3,1,1,3"
'0111','1111',1,"3,1,1,3"
'0110','1111',1,"3,1,1,3"
'1111','1111',1,"3,1,1,3"
'0100','1100',1,"3,5,5,3"
'0001','0000',1,"3,1,1,3"
'1110','1111',1,"3,1,1,3"
'1100','1100',1,"3,5,5,3"
'1010','1111',1,"3,1,1,3"
'0110','1111',1,"3,1,1,3"
'0111','0011',1,"3,5,5,3"
'0001','0000',1,"3,1,1,3"
'0000','0000',1,"3,1,1,3"
'0000','0000',1,"3,1,1,3"
'1110','1100',1,"3,5,5,3"
'1011','0011',1,"3,5,5,3"
'1111','1111',1,"3,1,1,3"
'1101','1100',1,"3,5,5,3"
'1010','0011',1,"3,5,5,3"
'1011','0011',1,"3,5,5,3"
'1001','0000',1,"3,1,1,3"
'1111','1111',1,"3,1,1,3"
'0011','0011',1,"3,5,5,3"
'0000','0000',1,"3,1,1,3"
'0010','0011',1,"3,5,5,3"
'0110','0011',1,"3,5,5,3"
'0101','1100',1,"3,5,5,3"
'0100','1100',1,"3,5,5,3"
'0010','0011',1,"3,5,5,3"
'0011','0011',1,"3,5,5,3"
'1110','1111',1,"3,1,1,3"
'1011','0011',1,"3,5,5,3"
'0001','0011',1,"3,5,5,3"
'1111','1111',1,"3,1,1,3"
'0001','0000',1,"3,1,1,3"
'0100','1100',1,"3,5,5,3"
'1011','0011',1,"3,5,5,3"
'0000','0000',1,"3,1,1,3"
'1100','1100',1,"3,5,5,3"
'1101','1100',1,"3,5,5,3"
'1110','1100',1,"3,5,5,3"
'1000','0000',1,"3,1,1,3"
'0100','1100',1,"3,5,5,3"
'0101','1100',1,"3,5,5,3"
'1101','1100',1,"3,5,5,3"
'1001','0000',1,"3,1,1,3"
'1111','1111',1,"3,1,1,3"
'1011','0011',1,"3,5,5,3"
'1001','0000',1,"3,1,1,3"
'1011','0011',1,"3,5,5,3"
'0100','1100',1,"3,5,5,3"
'0011','0011',1,"3,5,5,3"
'1110','1111',1,"3,1,1,3"
'1111','1111',1,"3,1,1,3"
'1011','0011',1,"3,5,5,3"
'1001','0011',1,"3,5,5,3"
'1111','1111',1,"3,1,1,3"
'1110','1100',1,"3,5,5,3"
'1000','0000',1,"3,1,1,3"
'0000','0000',1,"3,1,1,3"
'0000','0000',1,"3,1,1,3"
'1001','1100',1,"3,5,5,3"
'1011','0011',1,"3,5,5,3"
'1110','1100',1,"3,5,5,3"
'0100','1100',1,"3,5,5,3"
'1101','1100',1,"3,5,5,3"
'0001','0000',1,"3,1,1,3"
'0111','0011',1,"3,5,5,3"
'0010','0011',1,"3,5,5,3"
'0110','1111',1,"3,1,1,3"
'1110','1100',1,"3,5,5,3"
'0110','1100',1,"3,5,5,3"
'1101','1100',1,"3,5,5,3"
'0110','1111',1,"3,1,1,3"
'1110','1100',1,"3,5,5,3"
'0000','0000',1,"3,1,1,3"
'1011','0011',1,"3,5,5,3"
'1111','1111',1,"3,1,1,3"
'0100','1100',1,"3,5,5,3"
'0110','1100',1,"3,5,5,3"
'1111','1111',1,"3,1,1,3"
'0011','0011',1,"3,5,5,3"
'0100','1100',1,"3,5,5,3"
'0001','0000',1,"3,1,1,3"
'0010','0011',1,"3,5,5,3"
'0100','1100',1,"3,5,5,3"
'1011','0011',1,"3,5,5,3"
'0011','0011',1,"3,5,5,3"
'0101','1100',1,"3,5,5,3"
'1011','0011',1,"3,5,5,3"
'0101','0000',1,"3,1,1,3"
'0010','0011',1,"3,5,5,3"
'0010','0011',1,"3,5,5,3"
'1010','1100',1,"3,5,5,3"
'1101','1100',1,"3,5,5,3"
'1100','1100',1,"3,5,5,3"
'0001','0000',1,"3,1,1,3"
'0110','0011',1,"3,5,5,3"
'1000','0000',1,"3,1,1,3"
'0010','0011',1,"3,5,5,3"
'0001','0000',1,"3,1,1,3"
'1001','1100',1,"3,5,5,3"
'1100','1100',1,"3,5,5,3"
'0100','1100',1,"3,5,5,3"
'1101','1100',1,"3,5,5,3"
'1100','1100',1,"3,5,5,3"
'1110','1100',1,"3,5,5,3"
'1101','1100',1,"3,5,5,3"
'1011','0011',1,"3,5,5,3"
'0011','0011',1,"3,5,5,3"
'0000','0000',1,"3,1,1,3"
'1101','1100',1,"3,5,5,3"
'1011','0011',1,"3,5,5,3"
'0001','0011',1,"3,5,5,3"
'0101','0000',1,"3,1,1,3"
'1111','1111',1,"3,1,1,3"
'0000','0000',1,"3,1,1,3"
'0101','1100',1,"3,5,5,3"
'0011','0011',1,"3,5,5,3"
'1010','0011',1,"3,5,5,3"
'0011','0011',1,"3,5,5,3"
'1010','0000',1,"3,1,1,3"
'1101','1100',1,"3,5,5,3"
'0010','0011',1,"3,5,5,3"
'0011','0011',1,"3,5,5,3"
'1101','1100',1,"3,5,5,3"
'1111','1111',1,"3,1,1,3"
'1000','1100',1,"3,5,5,3"
'1100','1100',1,"3,5,5,3"
'1000','0000',1,"3,1,1,3"
'0000','0000',1,"3,1,1,3"
'0001','0011',1,"3,5,5,3"
'1001','0011',1,"3,5,5,3"
'1100','1100',1,"3,5,5,3"
'1101','1100',1,"3,5,5,3"
'0011','0011',1,"3,5,5,3"
'1001','1100',1,"3,5,5,3"
'1111','1111',1,"3,1,1,3"
'1110','1111',1,"3,1,1,3"
'1100','1100',1,"3,5,5,3"
'0010','0011',1,"3,5,5,3"
'1111','1111',1,"3,1,1,3"
'1011','0011',1,"3,5,5,3"
'1001','0000',1,"3,1,1,3"
'0110','1111',1,"3,1,1,3"
'1010','1111',1,"3,1,1,3"
'1011','0011',1,"3,5,5,3"
'1101','1100',1,"3,5,5,3"
'0111','0011',1,"3,5,5,3"
'0000','0000',1,"3,1,1,3"
'1001','0011',1,"3,5,5,3"
'0011','0011',1,"3,5,5,3"
'0000','0000',1,"3,1,1,3"
'1111','1111',1,"3,1,1,3"
'1011','0011',1,"3,5,5,3"
'0110','1111',1,"3,1,1,3"
'1010','1100',1,"3,5,5,3"
'0001','0011',1,"3,5,5,3"
'0001','0000',1,"3,1,1,3"
'1000','0000',1,"3,1,1,3"
'0011','0011',1,"3,5,5,3"
'0000','0000',1,"3,1,1,3"
'0100','1100',1,"3,5,5,3"
'0010','0011',1,"3,5,5,3"
'1100','1100',1,"3,5,5,3"
'1001','0000',1,"3,1,1,3"
'0001','0000',1,"3,1,1,3"
'0110','1100',1,"3,5,5,3"
'0110','0011',1,"3,5,5,3"
'1001','0000',1,"3,1,1,3"
'0001','0011',1,"3,5,5,3"
'0000','0000',1,"3,1,1,3"
'1001','0000',1,"3,1,1,3"
'0011','0011',1,"3,5,5,3"
'0101','1111',1,"3,1,1,3"
'1100','1100',1,"3,5,5,3"
'1010','0011',1,"3,5,5,3"
'1100','1100',1,"3,5,5,3"
'1010','0011',1,"3,5,5,3"
'1101','1100',1,"3,5,5,3"
'0000','0000',1,"3,1,1,3"
'0011','0011',1,"3,5,5,3"
'1100','1100',1,"3,5,5,3"
'1110','1100',1,"3,5,5,3"
'1011','0011',1,"3,5,5,3"
'0111','1111',1,"3,1,1,3"
'1011','0011',1,"3,5,5,3"
'1110','1100',1,"3,5,5,3"
'1000','0000',1,"3,1,1,3"
'0010','0011',1,"3,5,5,3"
'0111','1111',1,"3,1,1,3"
'0011','0011',1,"3,5,5,3"
'0110','1100',1,"3,5,5,3"
'0101','1100',1,"3,5,5,3"
'1110','1100',1,"3,5,5,3"
'1001','0000',1,"3,1,1,3"
'1001','1100',1,"3,5,5,3"
'1010','1100',1,"3,5,5,3"
'0100','1100',1,"3,5,5,3"
'1001','0011',1,"3,5,5,3"
'0010','0011',1,"3,5,5,3"
'0110','1100',1,"3,5,5,3"
'1001','1100',1,"3,5,5,3"
'1001','0000',1,"3,1,1,3"
'0001','0011',1,"3,5,5,3"
'1110','1111',1,"3,1,1,3"
'1001','0011',1,"3,5,5,3"
'0111','0011',1,"3,5,5,3"
'0111','1111',1,"3,1,1,3"
'1100','1100',1,"3,5,5,3"
'1000','1100',1,"3,5,5,3"
'1001','0000',1,"3,1,1,3"
'0010','0011',1,"3,5,5,3"
'1010','1100',1,"3,5,5,3"
'0101','0011',1,"3,5,5,3"
'0101','1100',1,"3,5,5,3"
'0111','0011',1,"3,5,5,3"
'1011','0011',1,"3,5,5,3"
'0100','1100',1,"3,5,5,3"
'0000','0000',1,"3,1,1,3"
'1000','0000',1,"3,1,1,3"
'0100','1100',1,"3,5,5,3"
'1000','0000',1,"3,1,1,3"
'1111','1111',1,"3,1,1,3"
'1010','1100',1,"3,5,5,3"
'0001','0000',1,"3,1,1,3"
'1110','1100',1,"3,5,5,3"
'0111','1111',1,"3,1,1,3"
'0110','1100',1,"3,5,5,3"
'0010','0011',1,"3,5,5,3"
'0001','0011',1,"3,5,5,3"
'0110','1111',1,"3,1,1,3"
'0111','0011',1,"3,5,5,3"
'1101','1100',1,"3,5,5,3"
'0111','0011',1,"3,5,5,3"
'1011','0011',1,"3,5,5,3"
'0110','1111',1,"3,1,1,3"
'0111','0011',1,"3,5,5,3"
'1001','0011',1,"3,5,5,3"
'0011','0011',1,"3,5,5,3"
'1100','1100',1,"3,5,5,3"
'1111','1111',1,"3,1,1,3"
'1011','0011',1,"3,5,5,3"
'0001','0000',1,"3,1,1,3"
'0110','1111',1,"3,1,1,3"
'0100','1100',1,"3,5,5,3"
'0001','0000',1,"3,1,1,3"
'1010','1100',1,"3,5,5,3"
'0001','0000',1,"3,1,1,3"
'0100','1100',1,"3,5,5,3"
'1001','0011',1,"3,5,5,3"
'1100','1100',1,"3,5,5,3"
'1101','1100',1,"3,5,5,3"
'0101','1100',1,"3,5,5,3"
'1011','0011',1,"3,5,5,3"
'1000','1100',1,"3,5,5,3"
'0001','0011',1,"3,5,5,3"
'0100','1100',1,"3,5,5,3"
'1110','1111',1,"3,1,1,3"
'1010','0011',1,"3,5,5,3"
'0010','0011',1,"3,5,5,3"
'1100','1100',1,"3,5,5,3"
'0010','0011',1,"3,5,5,3"
'0010','0011',1,"3,5,5,3"
'0111','1111',1,"3,1,1,3"
'0011','0011',1,"3,5,5,3"
'1010','0000',1,"3,1,1,3"
'0000','0000',1,"3,1,1,3"
'0010','0011',1,"3,5,5,3"
'1100','1100',1,"3,5,5,3"
'0111','0011',1,"3,5,5,3"
'0010','0011',1,"3,5,5,3"
'1010','0000',1,"3,1,1,3"
'1001','0000',1,"3,1,1,3"
'1011','0011',1,"3,5,5,3"
'0100','1100',1,"3,5,5,3"
'0111','0011',1,"3,5,5,3"
'0100','1100',1,"3,5,5,3"
'1011','0011',1,"3,5,5,3"
'0100','1100',1,"3,5,5,3"
'1101','1100',1,"3,5,5,3"
'0101','0011',1,"3,5,5,3"
'1011','0011',1,"3,5,5,3"
'1010','0000',1,"3,1,1,3"
'0011','0011',1,"3,5,5,3"
'0101','1111',1,"3,1,1,3"
'0111','0011',1,"3,5,5,3"
'0011','0011',1,"3,5,5,3"
'0000','0000',1,"3,1,1,3"
'1010','1111',1,"3,1,1,3"
'1000','1100',1,"3,5,5,3"
'1010','0011',1,"3,5,5,3"
'0110','1111',1,"3,1,1,3"
'1111','1111',1,"3,1,1,3"
'1000','0000',1,"3,1,1,3"
'0110','1111',1,"3,1,1,3"
'0001','0011',1,"3,5,5,3"
'0001','0000',1,"3,1,1,3"
'1001','0000',1,"3,1,1,3"
'0110','1100',1,"3,5,5,3"
'0010','0011',1,"3,5,5,3"
'0001','0000',1,"3,1,1,3"
'1010','0011',1,"3,5,5,3"
'0000','0000',1,"3,1,1,3"
'1101','1100',1,"3,5,5,3"
'0100','1100',1,"3,5,5,3"
'1001','0011',1,"3,5,5,3"
'1000','0000',1,"3,1,1,3"
'0101','0011',1,"3,5,5,3"
'1100','1100',1,"3,5,5,3"
'1010','0011',1,"3,5,5,3"
'0001','0011',1,"3,5,5,3"
'0101','0011',1,"3,5,5,3"
'0111','1111',1,"3,1,1,3"
'1101','1100',1,"3,5,5,3"
'1110','1111',1,"3,1,1,3"
'0100','1100',1,"3,5,5,3"
'1010','0011',1,"3,5,5,3"
'1011','0011',1,"3,5,5,3"
'1011','0011',1,"3,5,5,3"
'1100','1100',1,"3,5,5,3"
'0110','1100',1,"3,5,5,3"
'1111','1111',1,"3,1,1,3"
'0011','0011',1,"3,5,5,3"
'1011','0011',1,"3,5,5,3"
'0111','0011',1,"3,5,5,3"
'0000','0000',1,"3,1,1,3"
'1101','1100',1,"3,5,5,3"
'0001','0011',1,"3,5,5,3"
'1011','0011',1,"3,5,5,3"
'0010','0011',1,"3,5,5,3"
'0010','0011',1,"3,5,5,3"
'1001','1100',1,"3,5,5,3"
'0101','1100',1,"3,5,5,3"
'0101','0011',1,"3,5,5,3"
'0100','1100',1,"3,5,5,3"
'0110','1111',1,"3,1,1,3"
'0101','1100',1,"3,5,5,3"
'0111','1111',1,"3,1,1,3"
'0100','1100',1,"3,5,5,3"
'0111','0011',1,"3,5,5,3"
'0010','0011',1,"3,5,5,3"
'1111','1111',1,"3,1,1,3"
'1011','0011',1,"3,5,5,3"
'1101','1100',1,"3,5,5,3"
'1001','0011',1,"3,5,5,3"
'1010','1100',1,"3,5,5,3"
'1110','1100',1,"3,5,5,3"
'1110','1111',1,"3,1,1,3"
'0000','0000',1,"3,1,1,3"
'1100','1100',1,"3,5,5,3"
'1111','1111',1,"3,1,1,3"
'0101','0011',1,"3,5,5,3"
'0000','0000',1,"3,1,1,3"
'0011','0011',1,"3,5,5,3"
'0000','0000',1,"3,1,1,3"
'0011','0011',1,"3,5,5,3"
'1101','1100',1,"3,5,5,3"
'0101','1100',1,"3,5,5,3"
'1001','1100',1,"3,5,5,3"
'1101','1100',1,"3,5,5,3"
'0000','0000',1,"3,1,1,3"
'1110','1111',1,"3,1,1,3"
'0010','0011',1,"3,5,5,3"
'0001','0000',1,"3,1,1,3"
'0010','0011',1,"3,5,5,3"
'1001','0000',1,"3,1,1,3"
'1000','0000',1,"3,1,1,3"
'0000','0000',1,"3,1,1,3"
'1010','0011',1,"3,5,5,3"
'0011','0011',1,"3,5,5,3"
'1100','1100',1,"3,5,5,3"
'1001','1100',1,"3,5,5,3"
'0101','1100',1,"3,5,5,3"
'1100','1100',1,"3,5,5,3"
'0010','0011',1,"3,5,5,3"
'1000','1100',1,"3,5,5,3"
'0011','0011',1,"3,5,5,3"
'0111','1111',1,"3,1,1,3"
'0000','0000',1,"3,1,1,3"
'0111','0011',1,"3,5,5,3"
'0101','1100',1,"3,5,5,3"
'1010','1100',1,"3,5,5,3"
'1101','1100',1,"3,5,5,3"
'0111','1111',1,"3,1,1,3"
'0110','1100',1,"3,5,5,3"
'1110','1111',1,"3,1,1,3"
'1011','0011',1,"3,5,5,3"
'0000','0000',1,"3,1,1,3"
'1111','1111',1,"3,1,1,3"
'0010','0011',1,"3,5,5,3"
'1110','1111',1,"3,1,1,3"
'1110','1111',1,"3,1,1,3"
'0001','0011',1,"3,5,5,3"
'1111','1111',1,"3,1,1,3"
'1111','1111',1,"3,1,1,3"
'1111','1111',1,"3,1,1,3"
'0110','1111',1,"3,1,1,3"
'0101','0000',1,"3,1,1,3"
'1000','1100',1,"3,5,5,3"
'0100','1100',1,"3,5,5,3"
'1101','1100',1,"3,5,5,3"
'0000','0000',1,"3,1,1,3"
'1100','1100',1,"3,5,5,3"
'0100','1100',1,"3,5,5,3"
'0011','0011',1,"3,5,5,3"
'0101','0011',1,"3,5,5,3"
'0000','0000',1,"3,1,1,3"
'1101','1100',1,"3,5,5,3"
'1101','1100',1,"3,5,5,3"
'0101','1100',1,"3,5,5,3"
'1110','1100',1,"3,5,5,3"
'0011','0011',1,"3,5,5,3"
'1001','0000',1,"3,1,1,3"
'1010','0011',1,"3,5,5,3"
'1100','1100',1,"3,5,5,3"
'1011','0011',1,"3,5,5,3"
'0100','1100',1,"3,5,5,3"
'1000','1100',1,"3,5,5,3"
'1111','1111',1,"3,1,1,3"
'0011','0011',1,"3,5,5,3"
'0101','0011',1,"3,5,5,3"
'0000','0000',1,"3,1,1,3"
'0011','0011',1,"3,5,5,3"
